imageId,texts
4618,高速 公路 急轉彎
4619,鸚鵡 兄弟
4655,鸚鵡 兄弟
4660,鸚鵡 兄弟
4782,別 跟 我 說 什麼 OOO
4783,鸚鵡 兄弟
4786,鸚鵡 兄弟
4791,鸚鵡 兄弟
4801,鸚鵡 兄弟
4857,鸚鵡 兄弟
4862,鸚鵡 兄弟
4893,deja
4895,JOJO 梗 02
4935,鸚鵡
4937,躺下 、 嘗試 不 哭
4942,非洲 小孩
4947,鬼店 、 斧頭 破 門
4953,Jerry
4994,汪
5025,海鷗
5037,鸚鵡 兄弟
5039,鸚鵡 兄弟
5040,鸚鵡 兄弟
5041,鸚鵡 兄弟
5052,鸚鵡 兄弟
5113,玩笑
5143,躺下 、 嘗試 不 哭
5144,腦圖
5176,鸚鵡 兄弟
5182,deja
5183,丟人 下樓 公司
5204,jojo
5205,Jerry
5210,王世堅
5213,我 到底 看 了 三 小
5250,男人 在 等待
5294,Drake
5296,蝙蝠俠
5343,鸚鵡 兄弟
5345,Drake
5354,拉拉拉拉拉
5355,拉拉拉拉拉
5396,比利
5397,比利
5399,電腦 前 深思
5403,海綿 寶寶
5407,開槍
5408,男人 在 等待
5420,比利
5430,鷹眼
5433,鸚鵡 兄弟
5434,鸚鵡 兄弟
5461,炭治郎
5462,湯姆貓
5480,玩笑
5482,鸚鵡 兄弟
5484,鸚鵡 兄弟
5497,張學友 熊貓
5538,藏 狐
5542,國動
5545,國動
5548,圍毆
5585,吉娃娃
5586,Drake
5589,模板
5592,鸚鵡 兄弟
5593,鸚鵡 兄弟
5594,哭哭 貓
5621,American
5630,比利
5631,奈良鹿 鄙視 你
5682,0
5813,羅納度
5816,男人 在 等待
5817,老奶奶 看 螢幕
5818,嘗試 不尻尻
5819,閃瞎 你
5823,噁心派 大 星
5843,海綿 寶寶
5869,無言 小 貓
5875,吃 藥
5888,呱 白
5889,呱 白
5890,呱 白
5914,模板
5915,超衰 布萊恩
5972,Drake
5973,Drake
5977,巴斯 光年
5978,巴斯 光年
5983,模板
5989,模板
6000,薩諾斯 03
6006,American
6009,Drake
6012,模板
6028,模板
6029,李奧納多
6031,高速 公路 急轉彎
6032,模板
6034,玩笑
6036,困惑 蜥蜴
6037,模板
6038,嬰兒 嘴 媽媽
6039,模板
6040,模板
6108,東戶
6127,Jerry
6172,亞瑟 握 拳
6176,初音
6218,模板
6226,模板
6237,困惑 蜥蜴
6240,觀眾
6287,巨石 強森
6289,Woman
6310,Drake
6314,巴斯 光年
6315,巴斯 光年
6317,女人 與 沙發 女人
6321,現代 問題
6322,drake
6323,計畫 通
6326,對著 貓 吼 的 女人
6332,別 跟 我 說 什麼 OOO
6343,腦圖
6354,模板
6356,模板
6369,派 大星 你 嚇到 他 了
6370,派 大星 你 嚇到 他 了
6387,模板
6448,鸚鵡
6499,JOJO 梗 02
6539,Lee . Yanggggg
6554,嬰兒 嘴 媽媽
6557,館長 吃 香蕉
6564,模板
6565,模板
6626,鸚鵡 兄弟
6637,Drake
6639,驚訝 小 貓
6640,哭哭 貓
6644,老奶奶 看 螢幕
6645,模板
6697,菲爾普斯
6699,誰 會 贏
6738,悄悄話
6778,簡單
6785,誰 會 贏
6829,勵志 男孩
6879,國動
6880,計畫 通
6881,遊戲王
6884,巨石 強森
6885,炭治郎
6887,gannnnnnnnn
6892,兔子
6943,模板
6949,現代 問題
6972,非洲 小孩
7021,邪惡派 大 星
7024,傑出 的 一手
7041,模板
7140,模板
7155,殺手 找 人
7290,月光 仙子
7314,湯姆貓
7316,電腦 前 深思
7318,韓國 瑜
7340,鋼鐵人
7383,老奶奶 看 螢幕
7386,蝙蝠俠
7446,李奧納多
7452,模板
7453,熊貓人
7506,熊貓人
7522,上古 卷 軸
7530,北村一輝
7532,湯姆貓
7544,傑出 的 一手
7599,鸚鵡 兄弟
7624,勵志 男孩
7633,鸚鵡
7636,Ash
7637,鸚鵡
7715,模板
7737,模板
7740,錯愕 狗
7753,湯姆貓
7806,模板
7826,模板
7843,誰 會 贏
7848,American
7853,湯姆貓
7870,奈良鹿 鄙視 你
7871,奈良鹿 鄙視 你
7873,巴斯 光年
7877,鸚鵡 兄弟
7879,鸚鵡 兄弟
7881,think
7882,max
7941,湯姆貓
7952,啊 啊
7994,鸚鵡 兄弟
8020,模板
8032,deja
8116,鸚鵡 兄弟
8207,生活 駭客
8250,吉娃娃
8381,電腦 前 深思
8392,蝙蝠俠
8398,上帝 創造 OOO 的 過程
8399,殺手 找 人
8400,圍毆
8402,煩人 的 鳥
8403,煩人 的 鳥
8405,海綿 寶寶
8407,我 很 低能
8472,鬼店 、 斧頭 破 門
8474,巨石 強森
8542,鬼店 、 斧頭 破 門
8636,電腦 前 深思
8684,模板
8688,老奶奶 看 螢幕
8713,模板
8768,閃電波特
8811,中指 哭泣 小 貓
8816,驚訝 小 貓
8818,貓咪
8820,湯姆貓 傻眼
8825,驚恐
8827,鬼店 、 斧頭 破 門
8828,鬼店 、 斧頭 破 門
8829,鬼店 、 斧頭 破 門
8865,湯姆貓 傻眼
8869,模板
8878,腳 與 餅乾
8965,Drake
9119,鸚鵡 兄弟
9151,炭治郎 的 鄙視
9156,波波
9157,波波
9161,波波
9190,國動
9256,模板
9259,心跳
9262,湯姆貓 傻眼
9266,哭哭 貓
9268,無言 小 貓
9293,尖叫
9294,尖叫
9302,Woman
9307,Woman
9310,Woman
9311,湯姆貓 傻眼
9313,Drake
9315,模板
9319,湯姆貓
9322,模板
9331,殺手 找 人
9342,American
9345,哭哭 貓
9398,李奧納多
9399,巴斯 光年
9401,巴斯 光年
9402,湯姆貓
9406,American
9408,American
9410,兩 顆 按鈕
9411,女人 與 沙發 女人
9414,草包愚 001
9415,玩笑
9418,這 是 什麼 嗎
9421,煩人 的 鳥
9441,模板
9443,模板
9444,Law
9446,Law
9447,奈良鹿 鄙視 你
9448,超衰 布萊恩
9449,超衰 布萊恩
9452,煩人 的 鳥
9456,模板
9465,American
9472,男人
9480,模板
9490,奈良鹿 鄙視 你
9655,巴斯 光年
9659,海綿 寶寶
9685,高速 公路 急轉彎
9720,模板
9721,模板
9777,王境澤
9783,巴斯 光年
9794,嘗試 不尻尻
9870,吸 葉子
9971,模板
9972,模板
9975,哭泣 女人
9978,女人 與 沙發 女人
9979,萊納
9981,萊納
9986,省 之 呼吸
9995,王境澤
9996,王境澤
10038,驚訝 小 貓
10040,驚訝 小 貓
10041,驚訝 小 貓
10087,模板
10149,模板
10150,邪惡派 大 星
10170,威爾史密斯
10171,新年號
10210,男人 在 等待
10213,派 大 星
10226,鸚鵡 兄弟
10227,模板
10228,模板
10230,阿甘妙 世界
10234,驚訝 的 鸚鵡
10236,驚訝 的 鸚鵡
10240,drake
10241,drake
10246,海綿 寶寶 燒 紙
10251,心跳
10253,哭泣
10255,模板
10256,模板
10257,YAAAAAAAAAAAA
10258,大家 一起 安慰 一 個 人
10261,非洲 小孩
10270,不 對 喔
10272,無言 小 貓
10279,模板
10411,模板
10416,傑出 的 一手
10492,鬼店 、 斧頭 破 門
10496,第一 次 ？
10497,第一 次 ？
10540,蝙蝠俠
10561,海綿 寶寶 燒 紙
10572,knock
10595,傑出 的 一手
10599,哭哭 貓
10604,模板
10607,李奧納多
10611,模板
10614,Drake
10660,Drake
10664,海綿 寶寶 很 開心
10739,無言 小 貓
10740,無言 小 貓
10763,FBI 梗圖 A
10766,FBI 梗圖 B
10767,FBI 梗圖 C
10768,Woman
10769,湯姆貓
10772,YAAAAAAAAAAAA
10818,American
10822,為什麼 不 修 冷氣
10823,草包愚 001
10824,館長 吃 香蕉
10825,悲傷
10826,漏電 阿
10827,模板
10949,伊萊
10957,Drake
10969,猴子
11000,海鷗
11019,驚訝 小 貓
11020,驚訝 小 貓
11052,Jerry
11056,鸚鵡 兄弟
11058,鸚鵡 兄弟
11059,Drake
11224,現代 問題
11246,對 聖誕老人 許願 B
11247,對 聖誕老人 許願 A
11404,蒙蔽 雙眼
11479,閃瞎 你
11480,交流道 急轉
11481,第一 次
11513,玩笑
11530,努力 的 老鼠
11603,American
11631,王境澤
